low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,transd_mcc,trans_days_interval_filter,trans_days_interval,regional_mobility,student_feature,repayment_capability,is_high_user,number_of_trans_from_2011,historical_trans_amount,historical_trans_day,rank_trad_1_month,trans_amount_3_month,avg_consume_less_12_valid_month,abs,top_trans_count_last_1_month,avg_price_last_12_month,avg_price_top_last_12_valid_month,reg_preference_for_trad,trans_top_time_last_1_month,trans_top_time_last_6_month,consume_top_time_last_1_month,consume_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,status,first_transaction_day,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,loans_latest_day
0.01,0.99,0,0.9,0.55,0.313,17.0,27.0,26.0,3.0,1.001138952164009,19890,0,30.0,149050,151.0,0.4,34030,7.0,3920,0.15,1020,0.55,1.0,4.0,19.0,4.0,19.0,1.0,1.0,2.0,2.0,5.0,2170,6.0,0.0,1970,18040,0.0,1,1738.0,85.0,583.0,79.0,8.0,2.0,6.0,10.0,2.0,5.0,8.0,552.0,73.0,37.0,34.0,2.0,10.0,1.0,9.0,1.0,1.0,13.0,37.0,7.0,1.0,0.0,341.0,2200.0,72.0,9.0,10.0,2900.0,1688.0,1200.0,75.0,1.0,2.0,1200.0,1200.0,12.0,18.0
0.02,0.94,2000,1.28,1.0,0.45799999999999996,19.0,30.0,14.0,4.0,1.0,16970,0,23.0,302910,224.0,0.35,10590,5.0,6950,0.05,1210,0.5,1.0,13.0,30.0,13.0,30.0,0.0,0.0,3.0,3.0,330.0,2100,9.0,0.0,1820,15680,0.0,0,779.0,84.0,653.0,73.0,7.0,4.0,2.0,8.0,2.0,6.0,8.0,635.0,76.0,37.0,36.0,0.0,17.0,5.0,12.0,2.0,2.0,8.0,49.0,4.0,2.0,1.0,353.0,2000.0,74.0,12.0,12.0,3500.0,1758.0,15100.0,80.0,5.0,6.0,22800.0,9360.0,4.0,2.0
0.0,0.96,2000,0.13,0.57,0.777,22.0,14.0,6.0,3.0,1.001138952164009,6210,0,33.0,491130,360.0,0.15,91690,7.0,46850,0.05,1290,0.45,3.0,6.0,8.0,6.0,8.0,0.0,1.0,8.0,8.0,31700.0,8140,9.0,0.0,2700,27970,0.0,0,1831.0,82.0,595.0,79.0,12.0,7.0,4.0,22.0,3.0,16.0,17.0,542.0,75.0,85.0,81.0,4.0,22.0,5.0,17.0,2.0,4.0,34.0,91.0,26.0,2.0,0.0,355.0,1800.0,74.0,17.0,18.0,3200.0,1541.0,16300.0,80.0,5.0,5.0,30000.0,12180.0,2.0,4.0
0.03,0.65,0,0.31,0.76,0.47200000000000003,15.0,21.0,14.0,2.0,1.001138952164009,69800,0,28.0,172290,253.0,0.35,21760,8.0,99950,0.05,860,0.6,3.0,10.0,10.0,10.0,10.0,2.0,0.0,1.0,1.0,77.0,1750,4.0,0.0,0,6750,0.0,0,1188.0,83.0,491.0,80.0,9.0,3.0,4.0,13.0,2.0,8.0,10.0,451.0,78.0,24.0,11.0,11.0,10.0,8.0,2.0,3.0,10.0,16.0,22.0,53.0,0.0,21.0,316.0,4700.0,77.0,2.0,2.0,5300.0,4750.0,5500.0,79.0,8.0,11.0,19200.0,7987.0,24.0,7.0
0.01,0.99,500,0.8,1.0,0.08800000000000001,15.0,36.0,35.0,2.0,1.0,12510,0,14.0,37250,44.0,0.75,6640,7.0,110,1.0,1110,0.5,1.0,0.0,36.0,0.0,36.0,0.0,0.0,2.0,5.0,0.0,500,3.0,0.0,0,6160,0.0,1,501.0,95.0,619.0,79.0,7.0,3.0,2.0,8.0,3.0,7.0,7.0,589.0,74.0,13.0,12.0,0.0,5.0,0.0,5.0,0.0,0.0,6.0,13.0,3.0,0.0,0.0,312.0,1900.0,74.0,5.0,5.0,2800.0,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,142.0
0.01,0.79,0,1.24,1.0,0.447,16.0,19.0,13.0,1.0,1.001138952164009,31010,0,31.0,336460,302.0,0.7,47010,7.0,560,0.15,1360,0.5146666666666655,1.0,19.0,19.0,19.0,19.0,0.0,3.0,3.0,4.0,36538.0,260,5.0,0.0,0,11820,0.0,0,1018.0,83.0,546.0,72.0,24.0,10.0,9.0,33.0,10.0,13.0,21.0,511.0,76.0,44.0,42.0,2.0,20.0,5.0,15.0,3.0,5.0,21.0,52.0,14.0,5.0,0.0,342.0,2300.0,75.0,15.0,17.0,9300.0,2240.0,5000.0,83.0,5.0,7.0,11400.0,5460.0,13.0,9.0
0.01,0.89,4000,0.07,1.0,0.233,17.0,32.0,18.0,4.0,1.001138952164009,13740,0,14.0,96840,91.0,0.3,10720,9.0,3030,0.15,1180,0.5,1.0,13.0,32.0,13.0,32.0,1.0,0.0,1.0,1.0,104054.0,2000,4.0,0.0,200,20120,0.0,1,517.0,82.0,611.0,73.0,7.0,5.0,1.0,7.0,4.0,6.0,6.0,585.0,73.0,5.0,4.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,358.0,1800.0,73.0,3.0,3.0,2000.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,193.0
0.02,0.98,300,0.6,0.43,0.355,19.0,19.0,14.0,4.0,1.0,6480,0,22.0,201360,189.0,0.5,7110,7.0,910,0.3,910,0.55,1.0,11.0,19.0,11.0,19.0,0.0,2.0,2.0,3.0,0.0,1040,2.0,0.0,1070,5420,0.0,0,1611.0,89.0,645.0,78.0,11.0,6.0,3.0,18.0,2.0,8.0,14.0,615.0,77.0,31.0,27.0,0.0,16.0,8.0,8.0,1.0,2.0,8.0,35.0,10.0,3.0,0.0,360.0,1700.0,74.0,8.0,9.0,2000.0,1575.0,4700.0,80.0,8.0,10.0,6600.0,4062.0,9.0,7.0
0.02,0.98,300,0.11,1.0,0.22899999999999998,11.0,20.0,18.0,3.0,1.0,13690,0,8.0,46180,55.0,0.45,5650,5.0,3200,0.15,820,0.6,1.0,10.0,20.0,10.0,20.0,2.0,0.0,3.0,3.0,773711.0,1640,3.0,0.0,1190,17150,0.0,1,304.0,82.0,515.0,82.0,5.0,3.0,1.0,5.0,3.0,4.0,5.0,489.0,75.0,7.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,6.0,18.0,0.0,0.0,346.0,500.0,79.0,1.0,2.0,500.0,500.0,8400.0,74.0,1.0,1.0,8400.0,8400.0,3.0,71.0
0.01,0.99,2400,1.71,0.57,0.38799999999999996,18.0,16.0,13.0,3.0,1.001138952164009,1900,0,24.0,169240,175.0,0.1,53760,8.0,6450,0.05,1080,0.5,3.0,10.0,13.0,10.0,13.0,2.0,1.0,3.0,4.0,4252.0,4900,4.0,0.0,840,6050,0.0,0,1343.0,82.0,597.0,80.0,12.0,4.0,5.0,16.0,5.0,5.0,10.0,532.0,77.0,24.0,18.0,2.0,10.0,6.0,4.0,1.0,9.0,15.0,27.0,17.0,0.0,2.0,358.0,2600.0,72.0,4.0,4.0,3500.0,1900.0,8100.0,80.0,6.0,7.0,14400.0,6100.0,12.0,9.0
